"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 10 13:27:53 EET 2024","Wed Jul 10 13:28:24 EET 2024","30862","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCases.GoooBig_Preparation","GoooBigTestCases.GoooBig_Preparation","prepareOrganizationUsingValidData","prepareOrganizationUsingValidData","This test attempts to prepare organization using valid Data UserId, password and OrganizeId."
"passed","Thu Jul 11 09:45:59 EET 2024","Thu Jul 11 09:45:59 EET 2024","179","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCasesForTablet.GoooBig_PreparationTablet","GoooBigTestCasesForTablet.GoooBig_PreparationTablet","redirectToLoginScreenAfterPrepareOrganization","redirectToLoginScreenAfterPrepareOrganization","This test attempts to redirect to Login Screen."
"passed","Thu Jul 11 09:47:03 EET 2024","Thu Jul 11 09:47:04 EET 2024","848","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCasesForTablet.GoooBig_AddClientTablet","GoooBigTestCasesForTablet.GoooBig_AddClientTablet","NavigateToClientsScreen","NavigateToClientsScreen","This test attempts to verify the header of clients screen is Displayed."
"passed","Wed Jul 10 13:29:47 EET 2024","Wed Jul 10 13:29:50 EET 2024","3292","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCases.GoooBig_AddClient","GoooBigTestCases.GoooBig_AddClient","VerifyToAddClientWithNameOnly","VerifyToAddClientWithNameOnly","This test attempts to Verify Add Client With Name Only."
"passed","Wed Jul 10 13:29:23 EET 2024","Wed Jul 10 13:29:28 EET 2024","4947","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCases.GoooBig_Home","GoooBigTestCases.GoooBig_Home","VerifyWarehouseName","VerifyWarehouseName","This test attempts to verify the warehouse name is consistent across different screens."
"passed","Thu Jul 11 09:46:33 EET 2024","Thu Jul 11 09:46:42 EET 2024","9657","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCasesForTablet.GoooBig_LoginTablet","GoooBigTestCasesForTablet.GoooBig_LoginTablet","LoginToOrganizationUsingValidData","LoginToOrganizationUsingValidData","This test attempts to Login to organization using valid UserId, password."
"passed","Wed Jul 10 13:34:12 EET 2024","Wed Jul 10 13:35:02 EET 2024","49998","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCases.GoooBig_addFirstProductWithAddition","GoooBigTestCases.GoooBig_addFirstProductWithAddition","addTwoProductsWithSameAddition","addTwoProductsWithSameAddition",""
"broken","Thu Jul 11 09:47:19 EET 2024","Thu Jul 11 09:47:47 EET 2024","27216","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCasesForTablet.GoooBig_AddClientTablet","GoooBigTestCasesForTablet.GoooBig_AddClientTablet","VerifyToAddClientWithSpace","VerifyToAddClientWithSpace","This test attempts to Verify Add Client With Space Data."
"passed","Thu Jul 11 09:47:05 EET 2024","Thu Jul 11 09:47:06 EET 2024","1644","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCasesForTablet.GoooBig_AddClientTablet","GoooBigTestCasesForTablet.GoooBig_AddClientTablet","VerifyClickOnCancelButton","VerifyClickOnCancelButton","This test attempts to Verify Click On Cancel Button."
"passed","Wed Jul 10 13:33:23 EET 2024","Wed Jul 10 13:34:12 EET 2024","48904","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCases.GoooBig_addFirstProductWithAddition","GoooBigTestCases.GoooBig_addFirstProductWithAddition","addFirstProductWithAddition","addFirstProductWithAddition",""
"passed","Wed Jul 10 13:42:22 EET 2024","Wed Jul 10 13:42:25 EET 2024","3120","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCases.GoooBig_NoticeCreditor","GoooBigTestCases.GoooBig_NoticeCreditor","VerifyEditeProductFromNoticeCreditorInvoice","VerifyEditeProductFromNoticeCreditorInvoice","This test attempts to Edit product from cart for Notice Creditor Invoice."
"passed","Wed Jul 10 13:29:50 EET 2024","Wed Jul 10 13:29:56 EET 2024","6371","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCases.GoooBig_AddClient","GoooBigTestCases.GoooBig_AddClient","VerifyToAddClientWithPhoneOnly","VerifyToAddClientWithPhoneOnly","This test attempts to Verify Add Client With Phone Only."
"passed","Thu Jul 11 09:47:06 EET 2024","Thu Jul 11 09:47:09 EET 2024","2096","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCasesForTablet.GoooBig_AddClientTablet","GoooBigTestCasesForTablet.GoooBig_AddClientTablet","VerifyClickOnAddClientButtonWithoutData","VerifyClickOnAddClientButtonWithoutData","This test attempts to Verify Click On Add Client Button With Empty Data."
"passed","Thu Jul 11 09:48:16 EET 2024","Thu Jul 11 09:48:34 EET 2024","17833","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCasesForTablet.GoooBig_AddClientTablet","GoooBigTestCasesForTablet.GoooBig_AddClientTablet","VerifyToAddClientWithValidSameData","VerifyToAddClientWithValidSameData","This test attempts to Verify Add Client With Valid Same Previous Data."
"passed","Thu Jul 11 09:45:59 EET 2024","Thu Jul 11 09:46:07 EET 2024","8202","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCasesForTablet.GoooBig_LoginTablet","GoooBigTestCasesForTablet.GoooBig_LoginTablet","loginToOrganizationUsingAnEmptyData","loginToOrganizationUsingAnEmptyData","This test attempts to login to organization using an Empty Data UserId and a password."
"passed","Wed Jul 10 13:29:29 EET 2024","Wed Jul 10 13:29:34 EET 2024","4720","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCases.GoooBig_Home","GoooBigTestCases.GoooBig_Home","VerifySearchBar","VerifySearchBar","This test attempts to verify the Search bar on the home screen."
"passed","Wed Jul 10 13:31:49 EET 2024","Wed Jul 10 13:32:25 EET 2024","35992","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCases.GoooBig_UploadInvoiceForClient","GoooBigTestCases.GoooBig_UploadInvoiceForClient","verifyToSelectClientForInvoice","verifyToSelectClientForInvoice","This test attempts to select client for invoice."
"passed","Wed Jul 10 13:39:28 EET 2024","Wed Jul 10 13:40:13 EET 2024","44770","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCases.GoooBig_Invoices","GoooBigTestCases.GoooBig_Invoices","SmallNonTaxInvoiceWithDiscountOverInvoiceLevel","SmallNonTaxInvoiceWithDiscountOverInvoiceLevel","This test attempts to Small Non Tax Invoice With Discount over Invoice level"
"passed","Wed Jul 10 13:29:34 EET 2024","Wed Jul 10 13:29:34 EET 2024","515","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCases.GoooBig_Favorite","GoooBigTestCases.GoooBig_Favorite","verify_favorite_Icon","verify_favorite_Icon","Verify favorite Icon"
"passed","Wed Jul 10 13:28:24 EET 2024","Wed Jul 10 13:28:32 EET 2024","7575","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCases.GoooBig_Login","GoooBigTestCases.GoooBig_Login","loginToOrganizationUsingAnEmptyData","loginToOrganizationUsingAnEmptyData","This test attempts to login to organization using an Empty Data UserId and a password."
"passed","Wed Jul 10 13:42:10 EET 2024","Wed Jul 10 13:42:20 EET 2024","9711","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCases.GoooBig_NoticeCreditor","GoooBigTestCases.GoooBig_NoticeCreditor","VerifyNoticeCreditorFunctionality","VerifyNoticeCreditorFunctionality","This test attempts to verify Notice Creditor Functionality."
"passed","Thu Jul 11 09:48:52 EET 2024","Thu Jul 11 09:48:55 EET 2024","2975","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCasesForTablet.GoooBig_UploadInvoiceForClientTablet","GoooBigTestCasesForTablet.GoooBig_UploadInvoiceForClientTablet","verifyToSelectCategoryAndDepartmentAndProduct","verifyToSelectCategoryAndDepartmentAndProduct","This test attempts to verify Select Category And Department And Product."
"passed","Wed Jul 10 13:45:22 EET 2024","Wed Jul 10 13:46:08 EET 2024","46549","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCases.GoooBig_OtherPaymentMethods","GoooBigTestCases.GoooBig_OtherPaymentMethods","testcase2","testcase2",""
"passed","Wed Jul 10 13:42:03 EET 2024","Wed Jul 10 13:42:10 EET 2024","6888","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCases.GoooBig_NoticeCreditor","GoooBigTestCases.GoooBig_NoticeCreditor","testcase1","testcase1","This test attempts to Navigate to Make Notice Creditor invoice."
"passed","Thu Jul 11 09:45:31 EET 2024","Thu Jul 11 09:45:59 EET 2024","27281","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCasesForTablet.GoooBig_PreparationTablet","GoooBigTestCasesForTablet.GoooBig_PreparationTablet","prepareOrganizationUsingValidData","prepareOrganizationUsingValidData","This test attempts to prepare organization using valid Data UserId, password and OrganizeId."
